influencerId,campaignId,views,likes,comments,shares
influencer_1,campaign_6,16795,213,48,14
influencer_2,campaign_6,1860,31,6,6
influencer_3,campaign_6,77820,1147,246,360
influencer_4,campaign_3,55886,2904,611,476
influencer_5,campaign_10,7265,425,91,50
influencer_6,campaign_1,83386,4435,1251,965
influencer_7,campaign_4,38194,1851,374,197
influencer_8,campaign_10,88498,1613,312,353
influencer_9,campaign_6,45131,2235,590,391
influencer_10,campaign_10,61263,3133,517,602
influencer_11,campaign_2,17023,1287,299,90
influencer_12,campaign_7,42090,1081,173,276
influencer_13,campaign_7,68221,2409,594,827
influencer_14,campaign_4,65820,2973,657,755
influencer_15,campaign_4,1769,96,27,33
influencer_16,campaign_1,60735,782,152,354
influencer_17,campaign_2,63955,3382,930,655
influencer_18,campaign_9,65925,2185,620,810
influencer_19,campaign_10,68969,808,124,135
influencer_20,campaign_8,6311,179,46,13
influencer_21,campaign_8,84104,2594,403,391
influencer_22,campaign_9,54707,3268,532,668
influencer_23,campaign_7,86305,1823,402,686
influencer_24,campaign_9,29693,526,144,52
influencer_25,campaign_10,72932,316,70,61
influencer_26,campaign_2,94016,6054,1332,1249
influencer_27,campaign_6,26658,867,140,320
influencer_28,campaign_3,85478,2286,580,879
influencer_29,campaign_6,19431,469,75,120
influencer_30,campaign_3,3747,272,41,37
influencer_31,campaign_8,60150,1635,247,381
influencer_32,campaign_4,66725,1678,494,409
influencer_33,campaign_10,85654,5273,1119,973
influencer_34,campaign_6,36773,2701,676,58
influencer_35,campaign_9,68435,731,193,233
influencer_36,campaign_2,57886,1971,346,949
influencer_37,campaign_2,67803,4688,822,549
influencer_38,campaign_7,32551,2097,526,295
influencer_39,campaign_2,12394,351,81,133
influencer_40,campaign_2,70092,2411,375,609
influencer_41,campaign_4,4890,314,58,113
influencer_42,campaign_9,42606,1658,337,350
influencer_43,campaign_8,97276,5358,1226,1035
influencer_44,campaign_2,81038,3616,938,1423
influencer_45,campaign_8,88313,4742,1104,2013
influencer_46,campaign_4,11627,724,157,200
influencer_47,campaign_2,9792,615,102,245
influencer_48,campaign_10,74969,5025,956,514
